decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,47.03403237735812,54.66559382848893,0.0,23.51642948631197,5.867023670891387e-05,0.0805554717588119,0.0,768,24,40,20063.83930001175
2,20.0,25.152938440442085,-25.152938440442085,50.0,917.0,1.0,50.0,1000.0,1.0,True,43.918254418121876,43.93538829709221,0.0,21.958379152417184,7.480566437537425e-05,0.07270775998058991,0.0,768,2,40,21746.01679999614
3,40.0,23.513570427894592,-23.513570427894592,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.09429558022486,41.09429558022486,0.0,20.546162573548646,9.852165637825988e-05,0.06697274599924313,0.0,768,3,40,21714.01880000485
4,60.0,21.948414906859398,-21.948414906859398,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.53801770427015,38.53801770427015,0.0,19.267836856218945,0.00011719959161294994,0.05966662216493345,0.0,768,3,40,21708.49360000284
5,80.0,20.557778626680374,-20.557778626680374,50.0,1000.0,1.0,50.0,1000.0,17.0,True,36.12926173295548,36.23043477175569,0.0,18.063049973415037,0.00015808930627020135,0.057027981866551086,0.0,768,4,40,22627.592699995148
6,100.0,19.302623545750976,-19.302623545750976,50.0,1000.0,17.0,30.0,880.0,15.0,True,33.643697559523204,33.9687738996984,0.0,16.820113566704094,0.00017352130575083117,0.06128144899430948,0.0,768,24,40,22664.473699987866
7,120.0,18.240592705085874,-18.240592705085874,30.0,880.0,15.0,33.0,941.0,1.0,True,30.122628532800373,31.076588376336556,0.0,15.0584545600228,0.00028597063773864203,0.0700954674050594,0.0,768,24,40,21722.294100007275
8,140.0,16.45319182612002,-16.45319182612002,33.0,941.0,1.0,50.0,1.0,1.0,True,26.890957416646057,27.525366549089796,0.0,13.441081209480762,0.00043974988422656623,0.07577314877357239,0.0,768,10,40,22504.198800001177
9,160.0,15.125662224367261,-15.125662224367261,50.0,1.0,1.0,12.0,618.0,13.0,True,22.708226315381303,23.80570045725753,0.0,11.344935555756091,0.0009177601934560453,0.08922361257748726,0.0,768,24,40,21916.019900003448
10,180.0,13.105806993320584,-13.105806993320584,12.0,618.0,13.0,50.0,462.0,1.0,True,17.398621334117177,19.320451010957303,0.0,8.685102013498545,0.001420865356004373,0.09274460604557624,0.0,768,24,40,22283.55889998784
11,200.0,10.396341996267438,-10.396341996267438,50.0,462.0,1.0,7.0,683.0,8.0,True,13.321060807004203,14.063157774188614,0.0,6.638970513641834,0.0021559889860267366,0.08721118802443528,0.0,768,16,40,23704.727099990123
12,220.0,8.425140904262662,-8.425140904262662,7.0,683.0,8.0,38.0,634.0,5.0,True,7.072795799689592,9.991800490045584,0.0,3.197455292753875,0.00518515313824375,0.10442273624432392,0.5741821514169662,768,24,40,21735.818799992558
13,240.0,4.99347491748631,-4.99347491748631,38.0,634.0,5.0,38.0,1.0,7.0,True,4.886005649824559,86.20501935593401,0.0,2.128718570806086,0.002350602117820776,0.06103056038801487,0.5815564658559719,768,21,40,21732.632200000808
